keyword,nama,kategori,rating,jumlah_ulasan,alamat,telepon,latitude,longitude
"rumah makan Makassar,Rumah Makan & Catering Ulu Juku',Restoran Indonesia,""4,5"",3.731,""Jl. Prof. Abdurahman Basalamah No.99A, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",(0411) 421414,-5.1487306,119.4284579"
"rumah makan Makassar,RM Apong Seafood,Restoran Seafood,""4,5"",4.220,""Jl. Boulevard No.52, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",0822-1717-1519,-5.1566529,119.4085617"
"rumah makan Makassar,Kampoeng Kuliner Makassar - Bau Mangga,Restoran Keluarga,""4,9"",505,""Jl. Bau Mangga No.10, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222"",0812-4392-9473,-5.1566529,119.4085617"
"rumah makan Makassar,Saunk Coffee and Resto,Restoran,""4,7"",948,""Jl. Topaz Raya No.9, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",0811-423-120,-5.1566529,119.4085617"
"rumah makan Makassar,Raja Gurih,Restoran Seafood,""4,4"",539,""Jl. Pengayoman No.18-19, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231"",(0411) 458768,-5.1566529,119.4085617"
"rumah makan Makassar,Rumah Makan Muda Mudi,Restoran,""4,5"",3.195,""Jl. Rusa No.45 A, Maricaya, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90142"",0851-0533-1588,-5.1508775,119.3859345"
"rumah makan Makassar,Coto Nusantara,Restoran Sulawesi Selatan,""4,6"",4.003,""Jl. Nusantara Baru No.86, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90173"",0821-5887-0122,-5.1508775,119.3859345"
"rumah makan Makassar,Coto Nusantara,Restoran Sulawesi Selatan,""4,5"",3.606,""Jl. A. P. Pettarani No.125, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90231"",0823-4500-0086,-5.1508775,119.3859345"
"rumah makan Makassar,Coto Paraikatte,Restoran Sulawesi Selatan,""4,5"",3.606,""Jl. A. P. Pettarani No.125, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90231"",0823-4500-0086,-5.1508775,119.3859345"
"rumah makan Makassar,Ratu gurame,Rumah Makan,""4,2"",677,""Jl. Letjen Hertasning, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222"",0821-9288-1316,-5.1620247,119.4042547"
"rumah makan Makassar,Kaya Rempah,Restoran,""4,5"",1.117,""RCQR+4HF, Jl. Letjen Hertasning Baru, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"",(0411) 4665355,-5.1620247,119.4042547"
